Movie Names,Ratings,Views,Years,Durations
The Shawshank Redemption,9.3,2900000,1994,2h 22m
The Godfather,9.2,2000000,1972,2h 55m
The Dark Knight,9.0,2900000,2008,2h 32m
The Godfather Part II,9.0,1400000,1974,3h 22m
12 Angry Men,9.0,869000,1957,1h 36m
Schindler's List,9.0,1500000,1993,3h 15m
The Lord of the Rings: The Return of the King,9.0,2000000,2003,3h 21m
Pulp Fiction,8.9,2200000,1994,2h 34m
The Lord of the Rings: The Fellowship of the Ring,8.9,2000000,2001,2h 58m
"The Good, the Bad and the Ugly",8.8,814000,1966,2h 58m
Forrest Gump,8.8,2300000,1994,2h 22m
The Lord of the Rings: The Two Towers,8.8,1800000,2002,2h 59m
Fight Club,8.8,2300000,1999,2h 19m
Inception,8.8,2600000,2010,2h 28m
Star Wars: Episode V - The Empire Strikes Back,8.7,1400000,1980,2h 4m
The Matrix,8.7,2100000,1999,2h 16m
Goodfellas,8.7,1300000,1990,2h 25m
One Flew Over the Cuckoo's Nest,8.7,1100000,1975,2h 13m
Se7en,8.6,1800000,1995,2h 7m
Interstellar,8.7,2100000,2014,2h 49m
It's a Wonderful Life,8.6,501000,1946,2h 10m
Seven Samurai,8.6,368000,1954,3h 27m
The Silence of the Lambs,8.6,1600000,1991,1h 58m
Saving Private Ryan,8.6,1500000,1998,2h 49m
City of God,8.6,804000,2002,2h 10m
